AT,2020-03-16,2020-04-13,86.83529585552233,124.29245283018868
AT,2020-11-03,2020-11-30,61.86020743044695,-0.578735384976336
AT,2020-12-26,2021-02-07,78.76371878342916,-42.99910595180655
AT,2021-11-22,2021-12-12,56.27698677993489,-69.91664823620481
BE,2020-03-18,2020-05-04,69.45399335879205,128.27642121327742
BE,2020-11-02,2020-12-14,36.90581053125821,-83.46225986810666
BE,2021-03-27,2021-04-26,20.935552811605483,-37.481202724853006
BG,2020-03-13,2020-06-15,41.657240032638185,5109.239130434782
BG,2020-11-28,2021-01-31,51.89987813186331,-79.87888482632542
BG,2021-03-22,2021-03-31,51.86285913173874,18.71589241493167
HR,2020-03-18,2020-05-11,74.43951333103047,61.63793103448276
HR,2020-12-22,2020-12-29,63.465363514097696,-65.33471074380165
CZ,2020-03-16,2020-04-12,62.292602219211425,478.1772575250836
CZ,2020-10-22,2021-03-28,42.0756766413511,-35.586053474856385
DK,2020-03-12,2020-04-13,27.668534961653208,230.04966887417217
DK,2020-12-25,2021-03-01,43.461768850122404,-84.0590405904059
FR,2020-03-17,2020-05-11,80.00404240133832,52.96666148585638
FR,2020-10-30,2020-12-15,40.064750440515155,-64.32738047246634
FR,2021-04-04,2021-05-03,40.35178745639194,-53.89273465080342
FI,2020-03-16,2020-05-13,42.67003700989366,107.7414772727273
FI,2021-03-08,2021-03-28,28.94030549690056,-21.765039727582298
EE,2021-03-11,2021-04-11,40.44763452120798,-65.00073335288941
DE,2020-03-16,2020-05-30,39.59187330155474,27.723714829701716
DE,2020-11-02,2021-03-01,42.90961177078863,-35.61598280279482
GR,2020-03-23,2020-05-04,72.97729109949861,-67.74193548387098
GR,2020-11-07,2021-03-22,61.33853902666366,44.49763003617313
HU,2020-03-28,2020-04-10,49.7165329430789,348.9678899082569
IE,2020-03-12,2020-05-18,58.28487078784366,2477.0348837209303
IE,2020-10-21,2020-12-01,39.395570110348665,-68.83611312545322
IE,2020-12-24,2021-04-12,48.07541443862908,-27.804295942720763
IT,2020-03-09,2021-04-12,34.052687428846895,2884.452097039474
IT,2020-12-24,2021-01-06,57.38784375948502,8.04689377996887
IT,2021-03-15,2021-04-30,35.46829268259713,-48.142795390417916
LT,2020-03-16,2020-06-18,38.190149329569365,326.1363636363637
LT,2020-11-07,2021-07-01,39.09551061926325,-96.59580193756727
NL,2020-03-15,2020-04-06,41.575463232574116,1663.101604278075
NL,2020-12-15,2021-06-05,32.78613508581534,-75.07423148579413
NL,2021-11-13,2021-12-12,7.620468643009964,42.72135343684023
PL,2020-03-13,2020-04-11,57.69541233321734,10629.591836734695
PL,2020-12-28,2021-01-17,41.287137497067796,-31.363503981615953
PL,2021-03-20,2021-04-25,30.40828861639354,-64.17769883838083
PT,2020-03-19,2020-04-02,58.6496496842822,1574.5689655172414
PT,2021-01-15,2021-03-15,53.458373701973414,-93.60095745156816
RO,2020-03-25,2020-05-12,75.8545140674036,325.8819538670285
SK,2021-11-25,2021-12-09,26.61939006026856,-21.20090275578081
ES,2020-03-14,2020-05-09,92.37953135699004,66.30099620493358
